index,algorithm,time,cpu,matrix_size
0,Homemade,0.0383450984954834,,84
1,Numpy,0.0004036426544189453,,84
2,Homemade,0.014748573303222656,,51
3,Numpy,0.0001373291015625,,51
4,Homemade,0.04396176338195801,,74
5,Numpy,0.0014102458953857422,,74
6,Homemade,0.019479036331176758,,56
7,Numpy,0.0001773834228515625,,56
8,Homemade,0.01717686653137207,,54
9,Numpy,0.0001239776611328125,,54
10,Homemade,9.5367431640625e-06,,2
11,Numpy,2.4080276489257812e-05,,2
12,Homemade,0.005845069885253906,,37
13,Numpy,9.226799011230469e-05,,37
14,Homemade,0.0037360191345214844,,32
15,Numpy,7.009506225585938e-05,,32
16,Homemade,0.10775327682495117,,100
17,Numpy,0.00029969215393066406,,100
18,Homemade,1.0013580322265625e-05,,2
19,Numpy,2.9087066650390625e-05,,2
20,Homemade,0.07311582565307617,,88
21,Numpy,0.0002467632293701172,,88
22,Homemade,0.0389406681060791,,70
23,Numpy,0.05754590034484863,,70
24,Homemade,0.09153461456298828,,95
25,Numpy,0.008833646774291992,,95
26,Homemade,0.0018434524536132812,,25
27,Numpy,0.0766599178314209,,25
28,Homemade,0.09652423858642578,,96
29,Numpy,0.0005884170532226562,,96
30,Homemade,0.010157108306884766,,45
31,Numpy,0.0007390975952148438,,45
32,Homemade,0.024648189544677734,,61
33,Numpy,0.0011892318725585938,,61
34,Homemade,0.05625605583190918,,77
35,Numpy,0.03651690483093262,,77
36,Homemade,0.1034691333770752,,98
37,Numpy,0.0004372596740722656,,98
38,Homemade,0.004485368728637695,,34
39,Numpy,8.106231689453125e-05,,34
40,Homemade,0.015416383743286133,,52
41,Numpy,0.00010752677917480469,,52
42,Homemade,0.07972979545593262,,82
43,Numpy,0.00023317337036132812,,82
44,Homemade,0.09857702255249023,,98
45,Numpy,0.0052642822265625,,98
46,Homemade,0.045566558837890625,,63
47,Numpy,0.009203672409057617,,63
48,Homemade,0.04667782783508301,,73
49,Numpy,0.0211031436920166,,73
50,Homemade,0.06545281410217285,,84
51,Numpy,0.017797470092773438,,84
52,Homemade,0.0008392333984375,,19
53,Numpy,0.01761484146118164,,19
54,Homemade,0.016385316848754883,,53
55,Numpy,0.00015735626220703125,,53
56,Homemade,0.019315481185913086,,56
57,Numpy,0.00013327598571777344,,56
58,Homemade,0.0021698474884033203,,26
59,Numpy,0.039812326431274414,,26
60,Homemade,0.0007290840148925781,,18
61,Numpy,0.0001659393310546875,,18
62,Homemade,0.1156303882598877,,97
63,Numpy,0.0002532005310058594,,97
64,Homemade,0.025861263275146484,,62
65,Numpy,0.00015544891357421875,,62
66,Homemade,0.08248662948608398,,91
67,Numpy,0.0002529621124267578,,91
68,Homemade,0.019664287567138672,,55
69,Numpy,0.003888845443725586,,55
70,Homemade,9.179115295410156e-05,,8
71,Numpy,9.942054748535156e-05,,8
72,Homemade,4.410743713378906e-05,,6
73,Numpy,0.007367610931396484,,6
74,Homemade,0.0032143592834472656,,30
75,Numpy,0.0001544952392578125,,30
76,Homemade,0.020856618881225586,,57
77,Numpy,0.00012230873107910156,,57
78,Homemade,0.00043892860412597656,,15
79,Numpy,4.315376281738281e-05,,15
80,Homemade,0.019509315490722656,,56
81,Numpy,0.00011396408081054688,,56
82,Homemade,0.025187253952026367,,59
83,Numpy,0.02198481559753418,,59
84,Homemade,0.0888826847076416,,94
85,Numpy,0.0002357959747314453,,94
86,Homemade,2.2411346435546875e-05,,4
87,Numpy,2.8848648071289062e-05,,4
88,Homemade,0.12677812576293945,,98
89,Numpy,0.0002675056457519531,,98
90,Homemade,0.004431962966918945,,34
91,Numpy,8.869171142578125e-05,,34
92,Homemade,1.0251998901367188e-05,,2
93,Numpy,2.4557113647460938e-05,,2
94,Homemade,6.175041198730469e-05,,7
95,Numpy,2.6226043701171875e-05,,7
96,Homemade,0.03141593933105469,,65
97,Numpy,0.023456335067749023,,65
98,Homemade,0.0061914920806884766,,38
99,Numpy,0.00011706352233886719,,38
100,Homemade,0.04218649864196777,,74
101,Numpy,0.021318674087524414,,74
102,Homemade,0.035950660705566406,,69
103,Numpy,0.0002071857452392578,,69
104,Homemade,0.08362293243408203,,91
105,Numpy,0.0002472400665283203,,91
106,Homemade,0.0003643035888671875,,14
107,Numpy,4.76837158203125e-05,,14
108,Homemade,0.0003113746643066406,,13
109,Numpy,3.9577484130859375e-05,,13
110,Homemade,8.106231689453125e-06,,2
111,Numpy,2.1219253540039062e-05,,2
112,Homemade,0.04530668258666992,,74
113,Numpy,0.0418550968170166,,74
114,Homemade,0.02494645118713379,,61
115,Numpy,0.00016927719116210938,,61
116,Homemade,0.030228376388549805,,64
117,Numpy,0.06357741355895996,,64
118,Homemade,0.11626029014587402,,96
119,Numpy,0.00751042366027832,,96
120,Homemade,0.015708446502685547,,51
121,Numpy,0.007849693298339844,,51
122,Homemade,0.04530906677246094,,75
123,Numpy,0.005639076232910156,,75
124,Homemade,0.0007355213165283203,,18
125,Numpy,0.004528999328613281,,18
126,Homemade,0.06796050071716309,,85
127,Numpy,0.04003739356994629,,85
128,Homemade,0.02361273765563965,,60
129,Numpy,0.0001537799835205078,,60
130,Homemade,0.00023937225341796875,,12
131,Numpy,4.2438507080078125e-05,,12
132,Homemade,0.0057027339935302734,,37
133,Numpy,7.891654968261719e-05,,37
134,Homemade,0.019586801528930664,,55
135,Numpy,0.04008030891418457,,55
136,Homemade,5.0067901611328125e-05,,6
137,Numpy,5.0067901611328125e-05,,6
138,Homemade,0.0025577545166015625,,28
139,Numpy,6.341934204101562e-05,,28
140,Homemade,0.0003104209899902344,,13
141,Numpy,4.124641418457031e-05,,13
142,Homemade,3.0517578125e-05,,5
143,Numpy,2.2172927856445312e-05,,5
144,Homemade,0.007618427276611328,,41
145,Numpy,9.751319885253906e-05,,41
146,Homemade,0.07881760597229004,,84
147,Numpy,0.0007779598236083984,,84
148,Homemade,0.0807504653930664,,88
149,Numpy,0.0002834796905517578,,88
150,Homemade,0.023407936096191406,,60
151,Numpy,0.00014138221740722656,,60
152,Homemade,0.05668306350708008,,74
153,Numpy,0.010865211486816406,,74
154,Homemade,0.029337167739868164,,62
155,Numpy,0.00019049644470214844,,62
156,Homemade,0.00011610984802246094,,9
157,Numpy,3.552436828613281e-05,,9
158,Homemade,0.0025463104248046875,,27
159,Numpy,0.03565526008605957,,27
160,Homemade,2.5033950805664062e-05,,4
161,Numpy,4.363059997558594e-05,,4
162,Homemade,0.0021135807037353516,,26
163,Numpy,6.67572021484375e-05,,26
164,Homemade,0.002538919448852539,,28
165,Numpy,5.7220458984375e-05,,28
166,Homemade,0.02968764305114746,,65
167,Numpy,0.0001354217529296875,,65
168,Homemade,0.011414766311645508,,47
169,Numpy,0.00010323524475097656,,47
170,Homemade,0.035166025161743164,,67
171,Numpy,0.015718698501586914,,67
172,Homemade,0.1100912094116211,,98
173,Numpy,0.0002849102020263672,,98
174,Homemade,0.1314833164215088,,98
175,Numpy,0.03367280960083008,,98
176,Homemade,1.239776611328125e-05,,2
177,Numpy,4.553794860839844e-05,,2
178,Homemade,0.012175559997558594,,48
179,Numpy,0.00010895729064941406,,48
180,Homemade,0.0008475780487060547,,19
181,Numpy,5.0067901611328125e-05,,19
182,Homemade,0.029582977294921875,,65
183,Numpy,0.0001347064971923828,,65
184,Homemade,0.039324045181274414,,62
185,Numpy,0.02150726318359375,,62
186,Homemade,6.914138793945312e-05,,7
187,Numpy,5.4836273193359375e-05,,7
188,Homemade,0.04890632629394531,,74
189,Numpy,0.013155698776245117,,74
190,Homemade,0.0005266666412353516,,16
191,Numpy,0.022899866104125977,,16
192,Homemade,0.0018534660339355469,,25
193,Numpy,0.0005245208740234375,,25
194,Homemade,0.0012774467468261719,,22
195,Numpy,9.703636169433594e-05,,22
196,Homemade,0.0708613395690918,,83
197,Numpy,0.001934051513671875,,83
198,Homemade,0.04587888717651367,,75
199,Numpy,0.05460405349731445,,75
200,Homemade,0.03728127479553223,,69
201,Numpy,0.0011391639709472656,,69
202,Homemade,0.02425408363342285,,58
203,Numpy,0.0001697540283203125,,58
204,Homemade,0.0012786388397216797,,22
205,Numpy,5.173683166503906e-05,,22
206,Homemade,0.12686896324157715,,100
207,Numpy,0.0002791881561279297,,100
208,Homemade,0.05089592933654785,,67
209,Numpy,0.024723052978515625,,67
210,Homemade,0.033882856369018555,,68
211,Numpy,0.00020885467529296875,,68
212,Homemade,0.023220062255859375,,58
213,Numpy,0.010910511016845703,,58
214,Homemade,0.1043548583984375,,99
215,Numpy,0.012308120727539062,,99
216,Homemade,2.6464462280273438e-05,,4
217,Numpy,4.5299530029296875e-05,,4
218,Homemade,0.07863330841064453,,90
219,Numpy,0.018677234649658203,,90
220,Homemade,0.031202077865600586,,66
221,Numpy,0.000858306884765625,,66
222,Homemade,0.00037384033203125,,14
223,Numpy,0.007444858551025391,,14
224,Homemade,0.008882761001586914,,43
225,Numpy,0.044827938079833984,,43
226,Homemade,0.004025936126708984,,33
227,Numpy,0.0001354217529296875,,33
228,Homemade,0.0056324005126953125,,37
229,Numpy,0.0009002685546875,,37
230,Homemade,0.015084981918334961,,48
231,Numpy,0.009403228759765625,,48
232,Homemade,0.0008802413940429688,,19
233,Numpy,0.026467561721801758,,19
234,Homemade,0.040799856185913086,,80
235,Numpy,0.0409085750579834,,80
236,Homemade,0.010822296142578125,,46
237,Numpy,0.011320829391479492,,46
238,Homemade,0.12470388412475586,,99
239,Numpy,0.049276113510131836,,99
240,Homemade,0.004258871078491211,,33
241,Numpy,0.00010323524475097656,,33
242,Homemade,0.05510997772216797,,79
243,Numpy,0.011686325073242188,,79
244,Homemade,0.05053067207336426,,77
245,Numpy,0.0032799243927001953,,77
246,Homemade,0.0008642673492431641,,19
247,Numpy,0.00012826919555664062,,19
248,Homemade,4.0531158447265625e-05,,5
249,Numpy,3.457069396972656e-05,,5
250,Homemade,0.013893604278564453,,50
251,Numpy,0.000125885009765625,,50
252,Homemade,0.004073143005371094,,33
253,Numpy,7.700920104980469e-05,,33
254,Homemade,0.10792803764343262,,96
255,Numpy,0.00024890899658203125,,96
256,Homemade,0.03682065010070801,,68
257,Numpy,0.021959304809570312,,68
258,Homemade,0.0009894371032714844,,20
259,Numpy,7.510185241699219e-05,,20
260,Homemade,0.10966372489929199,,99
261,Numpy,0.0002903938293457031,,99
262,Homemade,0.0008418560028076172,,19
263,Numpy,5.340576171875e-05,,19
264,Homemade,0.030569076538085938,,65
265,Numpy,0.002089262008666992,,65
266,Homemade,0.05063152313232422,,77
267,Numpy,0.0002608299255371094,,77
268,Homemade,2.9325485229492188e-05,,4
269,Numpy,6.175041198730469e-05,,4
270,Homemade,0.00715327262878418,,40
271,Numpy,0.04842662811279297,,40
272,Homemade,0.015268325805664062,,52
273,Numpy,0.00016570091247558594,,52
274,Homemade,0.005271434783935547,,36
275,Numpy,9.202957153320312e-05,,36
276,Homemade,0.002527952194213867,,28
277,Numpy,0.05016160011291504,,28
278,Homemade,0.002471923828125,,28
279,Numpy,0.005664825439453125,,28
280,Homemade,0.04470324516296387,,66
281,Numpy,0.011583328247070312,,66
282,Homemade,3.266334533691406e-05,,5
283,Numpy,3.719329833984375e-05,,5
284,Homemade,0.11893463134765625,,98
285,Numpy,0.016431093215942383,,98
286,Homemade,0.0005323886871337891,,16
287,Numpy,9.226799011230469e-05,,16
288,Homemade,0.07456278800964355,,87
289,Numpy,0.00024175643920898438,,87
290,Homemade,0.0031118392944335938,,30
291,Numpy,6.222724914550781e-05,,30
292,Homemade,0.0031108856201171875,,30
293,Numpy,6.270408630371094e-05,,30
294,Homemade,0.00011730194091796875,,9
295,Numpy,2.765655517578125e-05,,9
296,Homemade,0.00015091896057128906,,10
297,Numpy,2.9087066650390625e-05,,10
298,Homemade,0.0008389949798583984,,19
299,Numpy,4.601478576660156e-05,,19
300,Homemade,0.0025544166564941406,,28
301,Numpy,5.53131103515625e-05,,28
302,Homemade,0.05115771293640137,,77
303,Numpy,0.015101194381713867,,77
304,Homemade,0.016628503799438477,,53
305,Numpy,0.00014257431030273438,,53
306,Homemade,0.0034227371215820312,,31
307,Numpy,8.058547973632812e-05,,31
308,Homemade,0.03869748115539551,,70
309,Numpy,0.034781455993652344,,70
310,Homemade,0.07729315757751465,,89
311,Numpy,0.019143104553222656,,89
312,Homemade,0.09237480163574219,,90
313,Numpy,0.00027942657470703125,,90
314,Homemade,0.011514663696289062,,47
315,Numpy,0.00011348724365234375,,47
316,Homemade,0.0009810924530029297,,20
317,Numpy,7.009506225585938e-05,,20
318,Homemade,0.04515337944030762,,71
319,Numpy,0.0030329227447509766,,71
320,Homemade,0.12792325019836426,,99
321,Numpy,0.0002701282501220703,,99
322,Homemade,0.00011658668518066406,,9
323,Numpy,3.6716461181640625e-05,,9
324,Homemade,0.12047386169433594,,100
325,Numpy,0.0009415149688720703,,100
326,Homemade,0.0056476593017578125,,37
327,Numpy,0.027986764907836914,,37
328,Homemade,0.1305220127105713,,95
329,Numpy,0.05833935737609863,,95
330,Homemade,0.009946823120117188,,45
331,Numpy,0.008561849594116211,,45
332,Homemade,0.00013208389282226562,,10
333,Numpy,0.008085012435913086,,10
334,Homemade,0.01582050323486328,,52
335,Numpy,0.0001609325408935547,,52
336,Homemade,0.00030803680419921875,,13
337,Numpy,4.076957702636719e-05,,13
338,Homemade,0.0002772808074951172,,12
339,Numpy,3.814697265625e-05,,12
340,Homemade,0.0025446414947509766,,28
341,Numpy,5.936622619628906e-05,,28
342,Homemade,0.0002593994140625,,12
343,Numpy,3.7670135498046875e-05,,12
344,Homemade,0.0014510154724121094,,23
345,Numpy,4.863739013671875e-05,,23
346,Homemade,0.0352330207824707,,68
347,Numpy,0.03301858901977539,,68
348,Homemade,0.054286956787109375,,79
349,Numpy,0.0037660598754882812,,79
350,Homemade,0.0006186962127685547,,17
351,Numpy,0.00037217140197753906,,17
352,Homemade,0.024816513061523438,,50
353,Numpy,0.00016832351684570312,,50
354,Homemade,0.05724787712097168,,80
355,Numpy,0.014079809188842773,,80
356,Homemade,6.628036499023438e-05,,7
357,Numpy,0.0008883476257324219,,7
358,Homemade,0.005240440368652344,,36
359,Numpy,0.000125885009765625,,36
360,Homemade,0.08924174308776855,,91
361,Numpy,0.0009789466857910156,,91
362,Homemade,6.747245788574219e-05,,7
363,Numpy,3.838539123535156e-05,,7
364,Homemade,0.02852177619934082,,64
365,Numpy,0.044226646423339844,,64
366,Homemade,0.005209684371948242,,36
367,Numpy,0.00011420249938964844,,36
368,Homemade,0.03724956512451172,,70
369,Numpy,0.0009520053863525391,,70
370,Homemade,0.07134151458740234,,77
371,Numpy,0.0002484321594238281,,77
372,Homemade,0.02038264274597168,,56
373,Numpy,0.031255245208740234,,56
374,Homemade,0.0003006458282470703,,13
375,Numpy,6.198883056640625e-05,,13
376,Homemade,0.043314218521118164,,74
377,Numpy,0.00018548965454101562,,74
378,Homemade,0.0008552074432373047,,19
379,Numpy,0.0008559226989746094,,19
380,Homemade,0.06694412231445312,,85
381,Numpy,0.00026106834411621094,,85
382,Homemade,0.00061798095703125,,17
383,Numpy,4.76837158203125e-05,,17
384,Homemade,0.0583646297454834,,81
385,Numpy,0.0011067390441894531,,81
386,Homemade,0.04352211952209473,,74
387,Numpy,0.0043413639068603516,,74
388,Homemade,0.10118436813354492,,90
389,Numpy,0.04754233360290527,,90
390,Homemade,0.02110123634338379,,57
391,Numpy,0.0014011859893798828,,57
392,Homemade,0.05523490905761719,,71
393,Numpy,0.00024199485778808594,,71
394,Homemade,0.00499725341796875,,35
395,Numpy,0.00010013580322265625,,35
396,Homemade,0.07797002792358398,,76
397,Numpy,0.00022077560424804688,,76
398,Homemade,0.0008492469787597656,,19
399,Numpy,5.078315734863281e-05,,19
